destination,budget,season,travel_type,day,time_slot,activity
Goa,Low,Summer,Adventure,9,Evening,Spa & Massage
Goa,Low,Summer,Relaxation,9,Morning,Sunset Photography
Goa,Low,Summer,Relaxation,9,Afternoon,Divar Island Cycling
Goa,Low,Summer,Relaxation,9,Evening,Local Café Hopping
Goa,Low,Summer,Adventure,10,Morning,Quiet Beach Walk
Goa,Low,Summer,Adventure,10,Afternoon,Local Market Shopping
Goa,Low,Summer,Adventure,10,Evening,Seafood Experience
Goa,Low,Summer,Relaxation,10,Morning,Live Music Club
Goa,Low,Summer,Relaxation,10,Afternoon,Free Exploration
Goa,Low,Summer,Relaxation,10,Evening,Packing & Rest
Goa,Low,Winter,Adventure,1,Morning,Farewell Dinner
Goa,Low,Winter,Adventure,1,Afternoon,cafe hopping
Goa,Low,Winter,Adventure,1,Evening,Baga Beach Water Sports
Goa,Low,Winter,Relaxation,1,Morning,Lunch & Rest at Beach Shack
Goa,Low,Winter,Relaxation,1,Afternoon,Sunset at Vagator Beach
Goa,Low,Winter,Relaxation,1,Evening,Dudhsagar Waterfall Trek
Goa,Low,Winter,Adventure,2,Morning,Local Goan Lunch
Goa,Low,Winter,Adventure,2,Afternoon,Spice Plantation Visit
Goa,Low,Winter,Adventure,2,Evening,Old Goa Churches Tour
Goa,Low,Winter,Relaxation,2,Morning,Fontainhas Heritage Walk
Goa,Low,Winter,Relaxation,2,Afternoon,Mandovi River Cruise
Goa,Low,Winter,Relaxation,2,Evening,Scuba Diving at Grande Island
Goa,Low,Winter,Adventure,3,Morning,Lunch & Rest
Goa,Low,Winter,Adventure,3,Afternoon,Anjuna Night Market
Goa,Low,Winter,Adventure,3,Evening,Butterfly Beach Visit
Goa,Low,Winter,Relaxation,3,Morning,Resort Leisure Time
Goa,Low,Winter,Relaxation,3,Afternoon,Beachside Dinner
Goa,Low,Winter,Relaxation,3,Evening,Reis Magos Fort Visit
Goa,Low,Winter,Adventure,4,Morning,Goan Thali Lunch
Goa,Low,Winter,Adventure,4,Afternoon,Casino Night
Goa,Low,Winter,Adventure,4,Evening,Parasailing
Goa,Low,Winter,Relaxation,4,Morning,Spa & Massage
Goa,Low,Winter,Relaxation,4,Afternoon,Sunset Photography
Goa,Low,Winter,Relaxation,4,Evening,Divar Island Cycling
Goa,Low,Winter,Adventure,5,Morning,Local Café Hopping
Goa,Low,Winter,Adventure,5,Afternoon,Quiet Beach Walk
Goa,Low,Winter,Adventure,5,Evening,Local Market Shopping
Goa,Low,Winter,Relaxation,5,Morning,Seafood Experience
Goa,Low,Winter,Relaxation,5,Afternoon,Live Music Club
Goa,Low,Winter,Relaxation,5,Evening,Free Exploration
Goa,Low,Winter,Adventure,6,Morning,Packing & Rest
Goa,Low,Winter,Adventure,6,Afternoon,Farewell Dinner
Goa,Low,Winter,Adventure,6,Evening,cafe hopping
Goa,Low,Winter,Relaxation,6,Morning,Baga Beach Water Sports
Goa,Low,Winter,Relaxation,6,Afternoon,Lunch & Rest at Beach Shack
Goa,Low,Winter,Relaxation,6,Evening,Sunset at Vagator Beach
Goa,Low,Winter,Adventure,7,Morning,Dudhsagar Waterfall Trek
Goa,Low,Winter,Adventure,7,Afternoon,Local Goan Lunch
Goa,Low,Winter,Adventure,7,Evening,Spice Plantation Visit
Goa,Low,Winter,Relaxation,7,Morning,Old Goa Churches Tour
Goa,Low,Winter,Relaxation,7,Afternoon,Fontainhas Heritage Walk
Goa,Low,Winter,Relaxation,7,Evening,Mandovi River Cruise
Goa,Low,Winter,Adventure,8,Morning,Scuba Diving at Grande Island
Goa,Low,Winter,Adventure,8,Afternoon,Lunch & Rest
Goa,Low,Winter,Adventure,8,Evening,Anjuna Night Market
Goa,Low,Winter,Relaxation,8,Morning,Butterfly Beach Visit
Goa,Low,Winter,Relaxation,8,Afternoon,Resort Leisure Time
Goa,Low,Winter,Relaxation,8,Evening,Beachside Dinner
Goa,Low,Winter,Adventure,9,Morning,Reis Magos Fort Visit
Goa,Low,Winter,Adventure,9,Afternoon,Goan Thali Lunch
Goa,Low,Winter,Adventure,9,Evening,Casino Night
Goa,Low,Winter,Relaxation,9,Morning,Parasailing
Goa,Low,Winter,Relaxation,9,Afternoon,Spa & Massage
Goa,Low,Winter,Relaxation,9,Evening,Sunset Photography
Goa,Low,Winter,Adventure,10,Morning,Divar Island Cycling
Goa,Low,Winter,Adventure,10,Afternoon,Local Café Hopping
Goa,Low,Winter,Adventure,10,Evening,Quiet Beach Walk
Goa,Low,Winter,Relaxation,10,Morning,Local Market Shopping
Goa,Low,Winter,Relaxation,10,Afternoon,Seafood Experience
Goa,Low,Winter,Relaxation,10,Evening,Live Music Club
Goa,Mid,Summer,Adventure,1,Morning,Free Exploration
Goa,Mid,Summer,Adventure,1,Afternoon,Packing & Rest
Goa,Mid,Summer,Adventure,1,Evening,Farewell Dinner
Goa,Mid,Summer,Relaxation,1,Morning,cafe hopping
Goa,Mid,Summer,Relaxation,1,Afternoon,Baga Beach Water Sports
Goa,Mid,Summer,Relaxation,1,Evening,Lunch & Rest at Beach Shack
Goa,Mid,Summer,Adventure,2,Morning,Sunset at Vagator Beach
Goa,Mid,Summer,Adventure,2,Afternoon,Dudhsagar Waterfall Trek
Goa,Mid,Summer,Adventure,2,Evening,Local Goan Lunch
Goa,Mid,Summer,Relaxation,2,Morning,Spice Plantation Visit
Goa,Mid,Summer,Relaxation,2,Afternoon,Old Goa Churches Tour
Goa,Mid,Summer,Relaxation,2,Evening,Fontainhas Heritage Walk
Goa,Mid,Summer,Adventure,3,Morning,Mandovi River Cruise
Goa,Mid,Summer,Adventure,3,Afternoon,Scuba Diving at Grande Island
Goa,Mid,Summer,Adventure,3,Evening,Lunch & Rest
Goa,Mid,Summer,Relaxation,3,Morning,Anjuna Night Market
Goa,Mid,Summer,Relaxation,3,Afternoon,Butterfly Beach Visit
Goa,Mid,Summer,Relaxation,3,Evening,Resort Leisure Time
Goa,Mid,Summer,Adventure,4,Morning,Beachside Dinner
Goa,Mid,Summer,Adventure,4,Afternoon,Reis Magos Fort Visit
Goa,Mid,Summer,Adventure,4,Evening,Goan Thali Lunch
Goa,Mid,Summer,Relaxation,4,Morning,Casino Night
Goa,Mid,Summer,Relaxation,4,Afternoon,Parasailing
Goa,Mid,Summer,Relaxation,4,Evening,Spa & Massage
Goa,Mid,Summer,Adventure,5,Morning,Sunset Photography
Goa,Mid,Summer,Adventure,5,Afternoon,Divar Island Cycling
Goa,Mid,Summer,Adventure,5,Evening,Local Café Hopping
Goa,Mid,Summer,Relaxation,5,Morning,Quiet Beach Walk
Goa,Mid,Summer,Relaxation,5,Afternoon,Local Market Shopping
Goa,Mid,Summer,Relaxation,5,Evening,Seafood Experience
Goa,Mid,Summer,Adventure,6,Morning,Live Music Club
Goa,Mid,Summer,Adventure,6,Afternoon,Free Exploration
Goa,Mid,Summer,Adventure,6,Evening,Packing & Rest
Goa,Mid,Summer,Relaxation,6,Morning,Farewell Dinner
Goa,Mid,Summer,Relaxation,6,Afternoon,cafe hopping
Goa,Mid,Summer,Relaxation,6,Evening,Baga Beach Water Sports
Goa,Mid,Summer,Adventure,7,Morning,Lunch & Rest at Beach Shack
Goa,Mid,Summer,Adventure,7,Afternoon,Sunset at Vagator Beach
Goa,Mid,Summer,Adventure,7,Evening,Dudhsagar Waterfall Trek
Goa,Mid,Summer,Relaxation,7,Morning,Local Goan Lunch
Goa,Mid,Summer,Relaxation,7,Afternoon,Spice Plantation Visit
Goa,Mid,Summer,Relaxation,7,Evening,Old Goa Churches Tour
Goa,Mid,Summer,Adventure,8,Morning,Fontainhas Heritage Walk
Goa,Mid,Summer,Adventure,8,Afternoon,Mandovi River Cruise
Goa,Mid,Summer,Adventure,8,Evening,Scuba Diving at Grande Island
Goa,Mid,Summer,Relaxation,8,Morning,Lunch & Rest
Goa,Mid,Summer,Relaxation,8,Afternoon,Anjuna Night Market
Goa,Mid,Summer,Relaxation,8,Evening,Butterfly Beach Visit
Goa,Mid,Summer,Adventure,9,Morning,Resort Leisure Time
Goa,Mid,Summer,Adventure,9,Afternoon,Beachside Dinner
Goa,Mid,Summer,Adventure,9,Evening,Reis Magos Fort Visit
Goa,Mid,Summer,Relaxation,9,Morning,Goan Thali Lunch
Goa,Mid,Summer,Relaxation,9,Afternoon,Casino Night
Goa,Mid,Summer,Relaxation,9,Evening,Parasailing
Goa,Mid,Summer,Adventure,10,Morning,Spa & Massage
Goa,Mid,Summer,Adventure,10,Afternoon,Sunset Photography
Goa,Mid,Summer,Adventure,10,Evening,Divar Island Cycling
Goa,Mid,Summer,Relaxation,10,Morning,Local Café Hopping
Goa,Mid,Summer,Relaxation,10,Afternoon,Quiet Beach Walk
Goa,Mid,Summer,Relaxation,10,Evening,Local Market Shopping
Goa,Mid,Winter,Adventure,1,Morning,Seafood Experience
Goa,Mid,Winter,Adventure,1,Afternoon,Live Music Club
Goa,Mid,Winter,Adventure,1,Evening,Free Exploration
Goa,Mid,Winter,Relaxation,1,Morning,Packing & Rest
Goa,Mid,Winter,Relaxation,1,Afternoon,Farewell Dinner
Goa,Mid,Winter,Relaxation,1,Evening,cafe hopping
Goa,Mid,Winter,Adventure,2,Morning,Baga Beach Water Sports
Goa,Mid,Winter,Adventure,2,Afternoon,Lunch & Rest at Beach Shack
Goa,Mid,Winter,Adventure,2,Evening,Sunset at Vagator Beach
Goa,Mid,Winter,Relaxation,2,Morning,Dudhsagar Waterfall Trek
Goa,Mid,Winter,Relaxation,2,Afternoon,Local Goan Lunch
Goa,Mid,Winter,Relaxation,2,Evening,Spice Plantation Visit
Goa,Mid,Winter,Adventure,3,Morning,Old Goa Churches Tour
Goa,Mid,Winter,Adventure,3,Afternoon,Fontainhas Heritage Walk
Goa,Mid,Winter,Adventure,3,Evening,Mandovi River Cruise
Goa,Mid,Winter,Relaxation,3,Morning,Scuba Diving at Grande Island
Goa,Mid,Winter,Relaxation,3,Afternoon,Lunch & Rest
Goa,Mid,Winter,Relaxation,3,Evening,Anjuna Night Market
Goa,Mid,Winter,Adventure,4,Morning,Butterfly Beach Visit
Goa,Mid,Winter,Adventure,4,Afternoon,Resort Leisure Time
Goa,Mid,Winter,Adventure,4,Evening,Beachside Dinner
Goa,Mid,Winter,Relaxation,4,Morning,Reis Magos Fort Visit
Goa,Mid,Winter,Relaxation,4,Afternoon,Goan Thali Lunch
Goa,Mid,Winter,Relaxation,4,Evening,Casino Night
Goa,Mid,Winter,Adventure,5,Morning,Parasailing
Goa,Mid,Winter,Adventure,5,Afternoon,Spa & Massage
Goa,Mid,Winter,Adventure,5,Evening,Sunset Photography
Goa,Mid,Winter,Relaxation,5,Morning,Divar Island Cycling
Goa,Mid,Winter,Relaxation,5,Afternoon,Local Café Hopping
Goa,Mid,Winter,Relaxation,5,Evening,Quiet Beach Walk
Goa,Mid,Winter,Adventure,6,Morning,Local Market Shopping
Goa,Mid,Winter,Adventure,6,Afternoon,Seafood Experience
Goa,Mid,Winter,Adventure,6,Evening,Live Music Club
Goa,Mid,Winter,Relaxation,6,Morning,Free Exploration
Goa,Mid,Winter,Relaxation,6,Afternoon,Packing & Rest
Goa,Mid,Winter,Relaxation,6,Evening,Farewell Dinner
Goa,Mid,Winter,Adventure,7,Morning,cafe hopping
Goa,Mid,Winter,Adventure,7,Afternoon,Baga Beach Water Sports
Goa,Mid,Winter,Adventure,7,Evening,Lunch & Rest at Beach Shack
Goa,Mid,Winter,Relaxation,7,Morning,Sunset at Vagator Beach
Goa,Mid,Winter,Relaxation,7,Afternoon,Dudhsagar Waterfall Trek
Goa,Mid,Winter,Relaxation,7,Evening,Local Goan Lunch
Goa,Mid,Winter,Adventure,8,Morning,Spice Plantation Visit
Goa,Mid,Winter,Adventure,8,Afternoon,Old Goa Churches Tour
Goa,Mid,Winter,Adventure,8,Evening,Fontainhas Heritage Walk
Goa,Mid,Winter,Relaxation,8,Morning,Mandovi River Cruise
Goa,Mid,Winter,Relaxation,8,Afternoon,Scuba Diving at Grande Island
Goa,Mid,Winter,Relaxation,8,Evening,Lunch & Rest
Goa,Mid,Winter,Adventure,9,Morning,Anjuna Night Market
Goa,Mid,Winter,Adventure,9,Afternoon,Butterfly Beach Visit
Goa,Mid,Winter,Adventure,9,Evening,Resort Leisure Time
Goa,Mid,Winter,Relaxation,9,Morning,Beachside Dinner
Goa,Mid,Winter,Relaxation,9,Afternoon,Reis Magos Fort Visit
Goa,Mid,Winter,Relaxation,9,Evening,Goan Thali Lunch
Goa,Mid,Winter,Adventure,10,Morning,Casino Night
Goa,Mid,Winter,Adventure,10,Afternoon,Parasailing
Goa,Mid,Winter,Adventure,10,Evening,Spa & Massage
Goa,Mid,Winter,Relaxation,10,Morning,Sunset Photography
Goa,Mid,Winter,Relaxation,10,Afternoon,Divar Island Cycling
Goa,Mid,Winter,Relaxation,10,Evening,Local Café Hopping
Goa,High,Summer,Adventure,1,Morning,Quiet Beach Walk
Goa,High,Summer,Adventure,1,Afternoon,Local Market Shopping
Goa,High,Summer,Adventure,1,Evening,Seafood Experience
Goa,High,Summer,Relaxation,1,Morning,Live Music Club
Goa,High,Summer,Relaxation,1,Afternoon,Free Exploration
Goa,High,Summer,Relaxation,1,Evening,Packing & Rest
Goa,High,Summer,Adventure,2,Morning,Farewell Dinner
Goa,High,Summer,Adventure,2,Afternoon,cafe hopping
Goa,High,Summer,Adventure,2,Evening,Baga Beach Water Sports
Goa,High,Summer,Relaxation,2,Morning,Lunch & Rest at Beach Shack
Goa,High,Summer,Relaxation,2,Afternoon,Sunset at Vagator Beach
Goa,High,Summer,Relaxation,2,Evening,Dudhsagar Waterfall Trek
Goa,High,Summer,Adventure,3,Morning,Local Goan Lunch
Goa,High,Summer,Adventure,3,Afternoon,Spice Plantation Visit
Goa,High,Summer,Adventure,3,Evening,Old Goa Churches Tour
Goa,High,Summer,Relaxation,3,Morning,Fontainhas Heritage Walk
Goa,High,Summer,Relaxation,3,Afternoon,Mandovi River Cruise
Goa,High,Summer,Relaxation,3,Evening,Scuba Diving at Grande Island
Goa,High,Summer,Adventure,4,Morning,Lunch & Rest
Goa,High,Summer,Adventure,4,Afternoon,Anjuna Night Market
Goa,High,Summer,Adventure,4,Evening,Butterfly Beach Visit
Goa,High,Summer,Relaxation,4,Morning,Resort Leisure Time
Goa,High,Summer,Relaxation,4,Afternoon,Beachside Dinner
Goa,High,Summer,Relaxation,4,Evening,Reis Magos Fort Visit
Goa,High,Summer,Adventure,5,Morning,Goan Thali Lunch
Goa,High,Summer,Adventure,5,Afternoon,Casino Night
Goa,High,Summer,Adventure,5,Evening,Parasailing
Goa,High,Summer,Relaxation,5,Morning,Spa & Massage
Goa,High,Summer,Relaxation,5,Afternoon,Sunset Photography
Goa,High,Summer,Relaxation,5,Evening,Divar Island Cycling
Goa,High,Summer,Adventure,6,Morning,Local Café Hopping
Goa,High,Summer,Adventure,6,Afternoon,Quiet Beach Walk
Goa,High,Summer,Adventure,6,Evening,Local Market Shopping
Goa,High,Summer,Relaxation,6,Morning,Seafood Experience
Goa,High,Summer,Relaxation,6,Afternoon,Live Music Club
Goa,High,Summer,Relaxation,6,Evening,Free Exploration
Goa,High,Summer,Adventure,7,Morning,Packing & Rest
Goa,High,Summer,Adventure,7,Afternoon,Farewell Dinner
Goa,High,Summer,Adventure,7,Evening,cafe hopping
Goa,High,Summer,Relaxation,7,Morning,Baga Beach Water Sports
Goa,High,Summer,Relaxation,7,Afternoon,Lunch & Rest at Beach Shack
Goa,High,Summer,Relaxation,7,Evening,Sunset at Vagator Beach
Goa,High,Summer,Adventure,8,Morning,Dudhsagar Waterfall Trek
Goa,High,Summer,Adventure,8,Afternoon,Local Goan Lunch
Goa,High,Summer,Adventure,8,Evening,Spice Plantation Visit
Goa,High,Summer,Relaxation,8,Morning,Old Goa Churches Tour
Goa,High,Summer,Relaxation,8,Afternoon,Fontainhas Heritage Walk
Goa,High,Summer,Relaxation,8,Evening,Mandovi River Cruise
Goa,High,Summer,Adventure,9,Morning,Scuba Diving at Grande Island
Goa,High,Summer,Adventure,9,Afternoon,Lunch & Rest
Goa,High,Summer,Adventure,9,Evening,Anjuna Night Market
Goa,High,Summer,Relaxation,9,Morning,Butterfly Beach Visit
Goa,High,Summer,Relaxation,9,Afternoon,Resort Leisure Time
Goa,High,Summer,Relaxation,9,Evening,Beachside Dinner
Goa,High,Summer,Adventure,10,Morning,Reis Magos Fort Visit
Goa,High,Summer,Adventure,10,Afternoon,Goan Thali Lunch
Goa,High,Summer,Adventure,10,Evening,Casino Night
Goa,High,Summer,Relaxation,10,Morning,Parasailing
Goa,High,Summer,Relaxation,10,Afternoon,Spa & Massage
Goa,High,Summer,Relaxation,10,Evening,Sunset Photography
Goa,High,Winter,Adventure,1,Morning,Divar Island Cycling
Goa,High,Winter,Adventure,1,Afternoon,Local Café Hopping
Goa,High,Winter,Adventure,1,Evening,Quiet Beach Walk
Goa,High,Winter,Relaxation,1,Morning,Local Market Shopping
Goa,High,Winter,Relaxation,1,Afternoon,Seafood Experience
Goa,High,Winter,Relaxation,1,Evening,Live Music Club
Goa,High,Winter,Adventure,2,Morning,Free Exploration
Goa,High,Winter,Adventure,2,Afternoon,Packing & Rest
Goa,High,Winter,Adventure,2,Evening,Farewell Dinner
Goa,High,Winter,Relaxation,2,Morning,cafe hopping
Goa,High,Winter,Relaxation,2,Afternoon,Baga Beach Water Sports
Goa,High,Winter,Relaxation,2,Evening,Lunch & Rest at Beach Shack
Goa,High,Winter,Adventure,3,Morning,Sunset at Vagator Beach
Goa,High,Winter,Adventure,3,Afternoon,Dudhsagar Waterfall Trek
Goa,High,Winter,Adventure,3,Evening,Local Goan Lunch
Goa,High,Winter,Relaxation,3,Morning,Spice Plantation Visit
Goa,High,Winter,Relaxation,3,Afternoon,Old Goa Churches Tour
Goa,High,Winter,Relaxation,3,Evening,Fontainhas Heritage Walk
Goa,High,Winter,Adventure,4,Morning,Mandovi River Cruise
Goa,High,Winter,Adventure,4,Afternoon,Scuba Diving at Grande Island
Goa,High,Winter,Adventure,4,Evening,Lunch & Rest
Goa,High,Winter,Relaxation,4,Morning,Anjuna Night Market
Goa,High,Winter,Relaxation,4,Afternoon,Butterfly Beach Visit
Goa,High,Winter,Relaxation,4,Evening,Resort Leisure Time
Goa,High,Winter,Adventure,5,Morning,Beachside Dinner
Goa,High,Winter,Adventure,5,Afternoon,Reis Magos Fort Visit
Goa,High,Winter,Adventure,5,Evening,Goan Thali Lunch
Goa,High,Winter,Relaxation,5,Morning,Casino Night
Goa,High,Winter,Relaxation,5,Afternoon,Parasailing
Goa,High,Winter,Relaxation,5,Evening,Spa & Massage
Goa,High,Winter,Adventure,6,Morning,Sunset Photography
Goa,High,Winter,Adventure,6,Afternoon,Divar Island Cycling
Goa,High,Winter,Adventure,6,Evening,Local Café Hopping
Goa,High,Winter,Relaxation,6,Morning,Quiet Beach Walk
Goa,High,Winter,Relaxation,6,Afternoon,Local Market Shopping
Goa,High,Winter,Relaxation,6,Evening,Seafood Experience
Goa,High,Winter,Adventure,7,Morning,Live Music Club
Goa,High,Winter,Adventure,7,Afternoon,Free Exploration
Goa,High,Winter,Adventure,7,Evening,Packing & Rest
Goa,High,Winter,Relaxation,7,Morning,Farewell Dinner
Goa,High,Winter,Relaxation,7,Afternoon,cafe hopping
Goa,High,Winter,Relaxation,7,Evening,Baga Beach Water Sports
Goa,High,Winter,Adventure,8,Morning,Lunch & Rest at Beach Shack
Goa,High,Winter,Adventure,8,Afternoon,Sunset at Vagator Beach
Goa,High,Winter,Adventure,8,Evening,Dudhsagar Waterfall Trek
Goa,High,Winter,Relaxation,8,Morning,Local Goan Lunch
Goa,High,Winter,Relaxation,8,Afternoon,Spice Plantation Visit
Goa,High,Winter,Relaxation,8,Evening,Old Goa Churches Tour
Goa,High,Winter,Adventure,9,Morning,Fontainhas Heritage Walk
Goa,High,Winter,Adventure,9,Afternoon,Mandovi River Cruise
Goa,High,Winter,Adventure,9,Evening,Scuba Diving at Grande Island
Goa,High,Winter,Relaxation,9,Morning,Lunch & Rest
Goa,High,Winter,Relaxation,9,Afternoon,Anjuna Night Market
Goa,High,Winter,Relaxation,9,Evening,Butterfly Beach Visit
Goa,High,Winter,Adventure,10,Morning,Resort Leisure Time
Goa,High,Winter,Adventure,10,Afternoon,Beachside Dinner
Goa,High,Winter,Adventure,10,Evening,Reis Magos Fort Visit
Goa,High,Winter,Relaxation,10,Morning,Goan Thali Lunch
Goa,High,Winter,Relaxation,10,Afternoon,Casino Night
Goa,High,Winter,Relaxation,10,Evening,Parasailing
Delhi,Low,Summer,Culture,1,Morning,Lunch at Chandni Chowk
Delhi,Low,Summer,Culture,1,Afternoon,India Gate & Light Show
Delhi,Low,Summer,Culture,1,Evening,Qutub Minar Tour
Delhi,Low,Summer,Nature,1,Morning,Humayun’s Tomb Visit
Delhi,Low,Summer,Nature,1,Afternoon,Lodhi Garden Walk
Delhi,Low,Summer,Nature,1,Evening,Akshardham Temple Visit
Delhi,Low,Summer,Culture,2,Morning,South Indian Lunch
Delhi,Low,Summer,Culture,2,Afternoon,Yamuna Riverfront Walk
Delhi,Low,Summer,Culture,2,Evening,Sunder Nursery Visit
Delhi,Low,Summer,Nature,2,Morning,Lunch at Khan Market
Delhi,Low,Summer,Nature,2,Afternoon,Street Shopping
Delhi,Low,Summer,Nature,2,Evening,Lotus Temple Visit
Delhi,Low,Summer,Culture,3,Morning,Café Hopping
Delhi,Low,Summer,Culture,3,Afternoon,Connaught Place Night Walk
Delhi,Low,Summer,Culture,3,Evening,Heritage Walking Tour
Delhi,Low,Summer,Nature,3,Morning,Local Street Food Trail
Delhi,Low,Summer,Nature,3,Afternoon,India Habitat Centre
Delhi,Low,Summer,Nature,3,Evening,National Museum Visit
Delhi,Low,Summer,Culture,4,Morning,Museum Café Lunch
Delhi,Low,Summer,Culture,4,Afternoon,Cultural Performance
Delhi,Low,Summer,Culture,4,Evening,Deer Park Walk
Delhi,Low,Summer,Nature,4,Morning,Lunch & Rest
Delhi,Low,Summer,Nature,4,Afternoon,Dilli Haat Visit
Delhi,Low,Summer,Nature,4,Evening,Raj Ghat Visit
Delhi,Low,Summer,Culture,5,Morning,Traditional North Indian Lunch
Delhi,Low,Summer,Culture,5,Afternoon,Central Park Walk
Delhi,Low,Summer,Culture,5,Evening,Free Exploration
Delhi,Low,Summer,Nature,5,Morning,Packing & Rest
Delhi,Low,Summer,Nature,5,Afternoon,Farewell Dinner
Delhi,Low,Summer,Nature,5,Evening,Humayun’s Tomb Guided Visit
Delhi,Low,Summer,Culture,6,Morning,Lunch at Khan Market Café
Delhi,Low,Summer,Culture,6,Afternoon,Lodhi Garden Sunset Walk
Delhi,Low,Summer,Culture,6,Evening,Red Fort & Jama Masjid Tour
Delhi,Low,Summer,Nature,6,Morning,Karim’s Mughlai Lunch
Delhi,Low,Summer,Nature,6,Afternoon,Chandni Chowk Heritage Walk
Delhi,Low,Summer,Nature,6,Evening,Segway Tour at Rajpath
Delhi,Low,Summer,Culture,7,Morning,National Museum Visit
Delhi,Low,Summer,Culture,7,Afternoon,Connaught Place Cafés
Delhi,Low,Summer,Culture,7,Evening,Akshardham Temple Visit
Delhi,Low,Summer,Nature,7,Morning,Gurudwara Bangla Sahib
Delhi,Low,Summer,Nature,7,Afternoon,India Gate Night Walk
Delhi,Low,Summer,Nature,7,Evening,Qutub Minar Guided Tour
Delhi,Low,Summer,Culture,8,Morning,Lunch at Saket Restaurants
Delhi,Low,Summer,Culture,8,Afternoon,Hauz Khas Village Walk
Delhi,Low,Summer,Culture,8,Evening,Rock Climbing Session
Delhi,Low,Summer,Nature,8,Morning,Dilli Haat Food Stalls
Delhi,Low,Summer,Nature,8,Afternoon,Cultural Performance
Delhi,Low,Summer,Nature,8,Evening,Sanjay Van Nature Walk
Delhi,Low,Summer,Culture,9,Morning,Café Hopping
Delhi,Low,Summer,Culture,9,Afternoon,Lunch at Chandni Chowk
Delhi,Low,Summer,Culture,9,Evening,India Gate & Light Show
Delhi,Low,Summer,Nature,9,Morning,Qutub Minar Tour
Delhi,Low,Summer,Nature,9,Afternoon,Humayun’s Tomb Visit
Delhi,Low,Summer,Nature,9,Evening,Lodhi Garden Walk
Delhi,Low,Summer,Culture,10,Morning,Akshardham Temple Visit
Delhi,Low,Summer,Culture,10,Afternoon,South Indian Lunch
